date	uid	event	value	timestamp
2013-02-01	18232	visit	3	1359652048563
2013-02-01	18316	visit	2	1359652154264
2013-02-01	18176	visit	4	1359651980000
2013-02-01	18173	visit	2	1359652054781
2013-02-01	18314	install.	9	1359651996764
2013-02-01	18115	visit	4	1359651726000
2013-02-01	18316	install.	6	1359652142009
2013-02-01	18111	visit	8	1359652132532
2013-02-01	18314	visit	8	1359651999240
2013-02-01	121	visit	2	1359651985000
2013-02-01	688	visit	6	1359651986000
2013-02-01	4355	visit	7	1359651929394
2013-02-01	427	visit	1	1359652068000
2013-02-01	427	visit	7	1359652462577
2013-02-01	18105	install.	3	1359652250267
2013-02-01	5608	visit	1	1359652212237
2013-02-01	427	visit	6	1359652105000
2013-02-01	4603	visit	6	1359652060000
2013-02-01	5608	visit	5	1359652212233
2013-02-01	18321	uninstall.	2	1359652663651
2013-02-01	2139	visit	9	1359652537379
2013-02-01	18320	visit	9	1359652657790
2013-02-01	261	visit	4	1359652517000
2013-02-01	121	visit	6	1359652483000
2013-02-01	18259	visit	9	1359652509695
2007-01-01	4603	visit	7	1167626237000
2013-02-01	751	visit	7	1359652434000
2013-02-01	1615	visit	0	1359652504000
2013-02-01	1262	visit	9	1359652610000
2013-02-01	121	visit	3	1359652859074
2013-02-01	121	visit	7	1359652858000
2013-02-01	751	visit	6	1359652808000
2013-02-01	329	visit	5	1359652804000
2013-02-01	19	visit	5	1359653225452
2013-02-01	38	visit	7	1359652942000
2013-02-01	18324	install.	2	1359653140650
2013-02-01	18326	install.	4	1359653170507
2013-02-01	18327	visit	2	1359653341228
2013-02-01	18128	visit	7	1359653097000
2013-02-01	18115	visit	4	1359653382710
2013-02-01	123	visit	6	1359653386000
2013-02-01	2139	visit	1	1359653519299
2013-02-01	18331	install.	0	1359653420120
2013-02-01	18332	visit	9	1359653699570
2013-02-01	366	visit	8	1359653004000
2013-02-01	427	visit	2	1359653307000
2013-02-01	18191	install.	5	1359653484278
2013-02-01	18329	install.	7	1359653415120
2013-02-01	18332	install.	1	1359653458559
2013-02-01	427	visit	4	1359653634000
2013-02-01	18160	install.	0	1359653749716
2013-02-01	121	visit	4	1359653935766
2013-02-01	18325	visit	3	1359653726000
2013-02-01	18332	visit	9	1359653705218
2013-02-01	18337	visit	4	1359653798660
2013-02-01	18335	visit	3	1359653801154
2013-02-01	18332	visit	2	1359653752636
2013-02-01	18336	visit	8	1359653747146
2013-02-01	4603	visit	3	1359653572000
2013-02-01	18334	install.	7	1359653720393
2013-02-01	366	visit	7	1359653139000
2013-02-01	18334	visit	3	1359653715973
2013-02-01	18139	visit	3	1359653573000
2013-02-01	121	visit	6	1359653523000
2013-02-01	18336	visit	9	1359653749331
2013-02-01	18340	install.	3	1359654144950
2013-02-01	121	visit	5	1359654073030
2013-02-01	18339	uninstall.	5	1359654031068
2013-02-01	18102	visit	0	1359654230871
2013-02-01	121	visit	7	1359654053000
2013-02-01	18340	visit	5	1359654148035
